id,dataset_source,kpi_type,service,expected_necessity_status,necessity_status,status_correct,error_category,is_offload_trigger,decision_kind
enact-001,original,ram,C1,no_action_needed,reconfiguration_required,False,capacite_brute_vs_cible,False,relocated
enact-002,original,ram,C1,no_action_needed,no_action_needed,True,correct,False,no_change
enact-003,original,ram,C2,no_action_needed,reconfiguration_required,False,capacite_brute_vs_cible,False,relocated
enact-004,original,ram,C2,no_action_needed,no_action_needed,True,correct,False,no_change
enact-005,original,ram,F1,no_action_needed,reconfiguration_required,False,capacite_brute_vs_cible,False,no_valid_placement
enact-006,original,ram,F1,no_action_needed,no_action_needed,True,correct,False,no_change
enact-007,original,ram,F2,no_action_needed,reconfiguration_required,False,capacite_brute_vs_cible,False,no_valid_placement
enact-008,original,ram,F2,no_action_needed,no_action_needed,True,correct,False,no_change
enact-009,original,ram,P1,no_action_needed,reconfiguration_required,False,capacite_brute_vs_cible,False,no_valid_placement
enact-010,original,ram,P1,no_action_needed,no_action_needed,True,correct,False,no_change
enact-101,extended,cpu,F1,no_action_needed,no_action_needed,True,correct,False,no_change
enact-102,extended,cpu,F1,no_action_needed,reconfiguration_required,False,capacite_brute_vs_cible,False,no_valid_placement
enact-103,extended,cpu,F1,reconfiguration_required,reconfiguration_required,True,correct,False,no_valid_placement
enact-104,extended,cpu,P1,no_action_needed,no_action_needed,True,correct,False,no_change
enact-105,extended,energy,F1,no_action_needed,no_action_needed,True,correct,False,no_change
enact-106,extended,energy,F1,no_action_needed,no_action_needed,True,correct,False,no_change
enact-107,extended,energy,F2,no_action_needed,no_action_needed,True,correct,False,no_change
enact-108,extended,energy,P1,reconfiguration_required,no_action_needed,False,kpi_non_gere,False,no_change
enact-109,extended,latency,P1,no_action_needed,no_action_needed,True,correct,False,no_change
enact-110,extended,latency,P1,reconfiguration_required,reconfiguration_required,True,correct,False,relocated
enact-111,extended,latency,F1,no_action_needed,no_action_needed,True,correct,False,no_change
enact-112,extended,cpu,C2-v2,reconfiguration_required,reconfiguration_required,True,correct,True,relocated
enact-113,extended,ram,F2-v2,reconfiguration_required,reconfiguration_required,True,correct,True,relocated
enact-114,extended,cpu,C1,reconfiguration_required,reconfiguration_required,True,correct,True,relocated
